gene,Strategy,csy interval,csy start age,run type,QALYs,Life-years,CRC incidence,CRC death,cost,colonoscopies,csy comps
MLH1,"Q1Y, Start age: 25",1,25,D_matrix_MLH1_1_25_both_genders.csv,29.517533409753124,46.47698051631306,0.26711281086321575,0.03230132065841266,40758.96671276979,42.44538105806982,0.03823107509759827
MLH1,"Q1Y, Start age: 30",1,30,D_matrix_MLH1_1_30_both_genders.csv,29.106153545961398,45.85027979566595,0.2871123391059463,0.049799119717030084,40067.11442856077,34.85694152498771,0.03176459292057914
MLH1,"Q1Y, Start age: 35",1,35,D_matrix_MLH1_1_35_both_genders.csv,29.12632862917599,45.83839147697995,0.29939442507832836,0.052350095922796665,35306.93936536383,29.929127495799634,0.027585891100664017
MLH1,"Q1Y, Start age: 40",1,40,D_matrix_MLH1_1_40_both_genders.csv,29.085080335195762,45.73185974831659,0.29125928977379634,0.05654612584342828,31006.35376828381,25.35631572492861,0.023727682337583697
MLH1,"Q2Y, Start age: 25",2,25,D_matrix_MLH1_2_25_both_genders.csv,29.43156492499883,46.290697301589375,0.3259081648217671,0.0433126996245406,33245.298667250296,29.59364226324356,0.027879252561800825
MLH1,"Q2Y, Start age: 30",2,30,D_matrix_MLH1_2_30_both_genders.csv,29.29652643875455,46.06820395614627,0.3421459990441057,0.049706206569574224,30966.601616843902,25.384817046058384,0.024278193860906922
MLH1,"Q2Y, Start age: 35",2,35,D_matrix_MLH1_2_35_both_genders.csv,28.95382540070547,45.55995881416493,0.41028424215920056,0.06928445234405592,33550.90725474418,19.824886648465124,0.01936579785630743
MLH1,"Q2Y, Start age: 40",2,40,D_matrix_MLH1_2_40_both_genders.csv,29.165893410343276,45.82423366007772,0.34330549376431246,0.05889305051177058,27117.76046213702,18.13321562265007,0.017923149542749532
MLH1,"Q3Y, Start age: 25",3,25,D_matrix_MLH1_3_25_both_genders.csv,29.334376929288112,46.13819458301503,0.3540575850743667,0.05184891484467657,31248.98067719945,25.19879171136848,0.02432816580724127
MLH1,"Q3Y, Start age: 30",3,30,D_matrix_MLH1_3_30_both_genders.csv,29.050377540363645,45.71616438633306,0.4135462650133286,0.0675123411620149,32878.33997577833,20.639288692325206,0.020311910591577553
MLH1,"Q3Y, Start age: 35",3,35,D_matrix_MLH1_3_35_both_genders.csv,28.74313395515753,45.241217179561644,0.40711763981508375,0.07882669753458557,32758.45794974422,17.007661667844612,0.017054939323429615
MLH1,"Q3Y, Start age: 40",3,40,D_matrix_MLH1_3_40_both_genders.csv,28.889333037595843,45.4283701330949,0.3888952449388615,0.07458729824528104,29432.14539971398,14.634500403760851,0.015028347947845891
